sample_id,fasta,sig,bam,group,species,gtf,bam_filesize
SRR306757_GSM752614_mmu_br_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306757_GSM752614_mmu_br_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306757_GSM752614_mmu_br_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306757_GSM752614_mmu_br_F_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1941042386
SRR306758_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306758_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306758_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306758_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1058000685
SRR306759_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306759_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306759_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306759_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,509259602
SRR306760_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306760_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306760_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306760_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1135063723
SRR306761_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306761_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306761_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306761_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1105590297
SRR306762_GSM752616_mmu_br_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306762_GSM752616_mmu_br_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306762_GSM752616_mmu_br_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306762_GSM752616_mmu_br_M_2Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1114595522
SRR306763_GSM752617_mmu_cb_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306763_GSM752617_mmu_cb_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306763_GSM752617_mmu_cb_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306763_GSM752617_mmu_cb_F_1Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2782147431
SRR306764_GSM752618_mmu_cb_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306764_GSM752618_mmu_cb_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306764_GSM752618_mmu_cb_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306764_GSM752618_mmu_cb_M_1Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1163942658
SRR306765_GSM752619_mmu_cb_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306765_GSM752619_mmu_cb_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306765_GSM752619_mmu_cb_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306765_GSM752619_mmu_cb_M_2Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1892369631
SRR306766_GSM752620_mmu_ht_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306766_GSM752620_mmu_ht_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306766_GSM752620_mmu_ht_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306766_GSM752620_mmu_ht_F_1Aligned.sortedByCoord.out.bam,Heart,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,3099270265
